Altium Designer Pick and Place Locations
C:\Users\brandon.dixon\Git\visor\hardware\cots\Project Outputs for 7798-20-0228\Pick Place for 7798-20-0228.csv

========================================================================================================================
File Design Information:

Date:       24/09/18
Time:       09:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U401","AXK724147G","TopLayer","AXK724147G","219.000","229.000","180","CONN SOCKET P4 .4MM 24POS SMD"
"J601","FH12-24S-0.5SH","TopLayer","FH12-24S-0.5SH","185.000","1671.890","270","ONN FFC BOTTOM 24POS 0.50MM R/A"
"J600","FH12-24S-0.5SH","TopLayer","FH12-24S-0.5SH","3160.000","1475.000","90","ONN FFC BOTTOM 24POS 0.50MM R/A"
"U105","LP5912-1.2","TopLayer","DRV0006A","2170.000","637.716","360","500-mA Low-Noise, Low-IQ LDO"
"U104","LP5912-1.2","TopLayer","DRV0006A","2155.000","435.000","360","500-mA Low-Noise, Low-IQ LDO"
"TP511","TP","TopLayer","TP_TH","674.000","1755.000","90",""
"TP510","TP","TopLayer","TP_TH","604.020","1592.130","90",""
"TP503","TP","TopLayer","TP_TH","2540.000","1405.000","90",""
"TP502","TP","TopLayer","TP_TH","3015.000","1830.000","90",""
"TP501","TP","TopLayer","TP_TH","3015.000","1935.000","90",""
"TP500","TP","TopLayer","TP_TH","3015.000","2035.000","90",""
"TP108","TP","TopLayer","TP_TH","600.000","1735.000","90",""
"TP107","TP","TopLayer","TP_TH","1945.000","260.000","90",""
"R105","CRCW040210K0FKEDHP","TopLayer","0402","2090.000","635.000","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R104","CRCW040210K0FKEDHP","TopLayer","0402","2085.000","438.504","270","0.125W, -55-155C, 1005, 50V, ±1%"
"C111","GRM31CR71H475KA12L","TopLayer","1206","2025.000","605.378","90","-55-125C, 3216, 50V, X7R, ±10%"
"C110","GRM31CR71H475KA12L","TopLayer","1206","2305.000","637.716","180","-55-125C, 3216, 50V, X7R, ±10%"
"C109","GRM31CR71H475KA12L","TopLayer","1206","2025.000","403.000","90","-55-125C, 3216, 50V, X7R, ±10%"
"C108","GRM31CR71H475KA12L","TopLayer","1206","2298.150","435.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C515","GRM31CR71H475KA12L","BottomLayer","1206","202.142","1004.449","180","-55-125C, 3216, 50V, X7R, ±10%"
"C514","GRM155R71A104KA01D","BottomLayer","0402","225.000","775.000","360","-55-125C, 1005, 10V, X7R, ±10%"
"C513","GRM155R71A104KA01D","BottomLayer","0402","235.000","944.449","360","-55-125C, 1005, 10V, X7R, ±10%"
"C512","GRM31CR71H475KA12L","BottomLayer","1206","195.000","840.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C510","GRM155R71A104KA01D","BottomLayer","0402","230.378","660.000","360","-55-125C, 1005, 10V, X7R, ±10%"
"C508","GRM31CR71H475KA12L","BottomLayer","1206","195.378","720.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C507","GRM31CR71H475KA12L","BottomLayer","1206","3151.850","820.000","360","-55-125C, 3216, 50V, X7R, ±10%"
"C506","GRM155R71A104KA01D","BottomLayer","0402","3115.000","755.433","180","-55-125C, 1005, 10V, X7R, ±10%"
"C505","GRM155R71A104KA01D","BottomLayer","0402","3120.000","885.000","180","-55-125C, 1005, 10V, X7R, ±10%"
"C504","GRM31CR71H475KA12L","BottomLayer","1206","3149.370","695.433","360","-55-125C, 3216, 50V, X7R, ±10%"
"C502","GRM155R71A104KA01D","BottomLayer","0402","3121.693","1020.000","180","-55-125C, 1005, 10V, X7R, ±10%"
"C500","GRM31CR71H475KA12L","BottomLayer","1206","3165.000","945.000","360","-55-125C, 3216, 50V, X7R, ±10%"
"J500","FH12-24S-0.5SH","TopLayer","FH12-24S-0.5SH","3161.024","761.024","90","ONN FFC BOTTOM 24POS 0.50MM R/A"
"J501","FH12-24S-0.5SH","TopLayer","FH12-24S-0.5SH","185.000","870.000","270","ONN FFC BOTTOM 24POS 0.50MM R/A"
"TP104","TP","TopLayer","TP_TH","2820.000","300.000","90",""
"TP103","TP","TopLayer","TP_TH","430.000","749.606","90",""
"TP102","TP","TopLayer","TP_TH","1030.000","1160.000","90",""
"TP101","TP","TopLayer","TP_TH","2350.000","1140.000","90",""
"TP16","TP","TopLayer","TP_TH","1600.000","220.000","90",""
"TP15","TP","TopLayer","TP_TH","2340.000","1320.000","90",""
"TP14","TP","TopLayer","TP_TH","2610.000","390.000","90",""
"TP3","TP","TopLayer","TP_TH","1995.000","1035.000","90",""
"C5","GRM31CR71H475KA12L","BottomLayer","1206","1865.000","1800.000","180","-55-125C, 3216, 50V, X7R, ±10%"
"C3","GRM31CR71H475KA12L","BottomLayer","1206","1865.000","1717.283","180","-55-125C, 3216, 50V, X7R, ±10%"
"RESET","PTS645SH50SMTR92 LFS","TopLayer","PTS645SH50SMTR92_LFS","530.000","1310.165","180","Tactile Switch"
"POWER","PTS645SH50SMTR92 LFS","TopLayer","PTS645SH50SMTR92_LFS","605.000","1055.000","360","Tactile Switch"
